dataset,folder_name,shape,image_folder,image_path
train,1048,unknown,1048,C:\Users\ashut\Downloads\Geometry3K\train\1048
train,1049,unknown,1049,C:\Users\ashut\Downloads\Geometry3K\train\1049
train,105,unknown,105,C:\Users\ashut\Downloads\Geometry3K\train\105
train,1050,unknown,1050,C:\Users\ashut\Downloads\Geometry3K\train\1050
train,1051,unknown,1051,C:\Users\ashut\Downloads\Geometry3K\train\1051
train,1052,unknown,1052,C:\Users\ashut\Downloads\Geometry3K\train\1052
train,1053,circle,1053,C:\Users\ashut\Downloads\Geometry3K\train\1053
train,1054,unknown,1054,C:\Users\ashut\Downloads\Geometry3K\train\1054
train,1055,unknown,1055,C:\Users\ashut\Downloads\Geometry3K\train\1055
train,1056,unknown,1056,C:\Users\ashut\Downloads\Geometry3K\train\1056
train,1057,unknown,1057,C:\Users\ashut\Downloads\Geometry3K\train\1057
train,1058,unknown,1058,C:\Users\ashut\Downloads\Geometry3K\train\1058
train,1059,unknown,1059,C:\Users\ashut\Downloads\Geometry3K\train\1059
train,106,triangle,106,C:\Users\ashut\Downloads\Geometry3K\train\106
train,1060,unknown,1060,C:\Users\ashut\Downloads\Geometry3K\train\1060
train,1061,unknown,1061,C:\Users\ashut\Downloads\Geometry3K\train\1061
train,1062,unknown,1062,C:\Users\ashut\Downloads\Geometry3K\train\1062
train,1063,circle,1063,C:\Users\ashut\Downloads\Geometry3K\train\1063
train,1064,unknown,1064,C:\Users\ashut\Downloads\Geometry3K\train\1064
train,1065,unknown,1065,C:\Users\ashut\Downloads\Geometry3K\train\1065
train,1066,unknown,1066,C:\Users\ashut\Downloads\Geometry3K\train\1066
train,1067,unknown,1067,C:\Users\ashut\Downloads\Geometry3K\train\1067
train,1068,unknown,1068,C:\Users\ashut\Downloads\Geometry3K\train\1068
train,1069,unknown,1069,C:\Users\ashut\Downloads\Geometry3K\train\1069
train,107,unknown,107,C:\Users\ashut\Downloads\Geometry3K\train\107
train,1070,unknown,1070,C:\Users\ashut\Downloads\Geometry3K\train\1070
train,1071,unknown,1071,C:\Users\ashut\Downloads\Geometry3K\train\1071
train,1072,unknown,1072,C:\Users\ashut\Downloads\Geometry3K\train\1072
train,1073,unknown,1073,C:\Users\ashut\Downloads\Geometry3K\train\1073
train,1074,unknown,1074,C:\Users\ashut\Downloads\Geometry3K\train\1074
train,1075,unknown,1075,C:\Users\ashut\Downloads\Geometry3K\train\1075
train,1076,unknown,1076,C:\Users\ashut\Downloads\Geometry3K\train\1076
train,1077,unknown,1077,C:\Users\ashut\Downloads\Geometry3K\train\1077
train,1078,unknown,1078,C:\Users\ashut\Downloads\Geometry3K\train\1078
train,1079,unknown,1079,C:\Users\ashut\Downloads\Geometry3K\train\1079
train,108,unknown,108,C:\Users\ashut\Downloads\Geometry3K\train\108
train,1080,unknown,1080,C:\Users\ashut\Downloads\Geometry3K\train\1080
train,1081,unknown,1081,C:\Users\ashut\Downloads\Geometry3K\train\1081
train,1082,unknown,1082,C:\Users\ashut\Downloads\Geometry3K\train\1082
train,1083,unknown,1083,C:\Users\ashut\Downloads\Geometry3K\train\1083
train,1084,unknown,1084,C:\Users\ashut\Downloads\Geometry3K\train\1084
train,1085,unknown,1085,C:\Users\ashut\Downloads\Geometry3K\train\1085
train,1086,unknown,1086,C:\Users\ashut\Downloads\Geometry3K\train\1086
train,1087,unknown,1087,C:\Users\ashut\Downloads\Geometry3K\train\1087
train,1088,unknown,1088,C:\Users\ashut\Downloads\Geometry3K\train\1088
train,1089,unknown,1089,C:\Users\ashut\Downloads\Geometry3K\train\1089
train,109,unknown,109,C:\Users\ashut\Downloads\Geometry3K\train\109
train,1090,unknown,1090,C:\Users\ashut\Downloads\Geometry3K\train\1090
train,1091,unknown,1091,C:\Users\ashut\Downloads\Geometry3K\train\1091
train,1092,unknown,1092,C:\Users\ashut\Downloads\Geometry3K\train\1092
train,1093,circle,1093,C:\Users\ashut\Downloads\Geometry3K\train\1093
train,1094,unknown,1094,C:\Users\ashut\Downloads\Geometry3K\train\1094
train,1095,unknown,1095,C:\Users\ashut\Downloads\Geometry3K\train\1095
train,1096,unknown,1096,C:\Users\ashut\Downloads\Geometry3K\train\1096
train,1097,unknown,1097,C:\Users\ashut\Downloads\Geometry3K\train\1097
train,1098,unknown,1098,C:\Users\ashut\Downloads\Geometry3K\train\1098
train,1099,unknown,1099,C:\Users\ashut\Downloads\Geometry3K\train\1099
train,11,circle,11,C:\Users\ashut\Downloads\Geometry3K\train\11
train,110,unknown,110,C:\Users\ashut\Downloads\Geometry3K\train\110
train,1100,unknown,1100,C:\Users\ashut\Downloads\Geometry3K\train\1100
train,1101,unknown,1101,C:\Users\ashut\Downloads\Geometry3K\train\1101
train,1102,unknown,1102,C:\Users\ashut\Downloads\Geometry3K\train\1102
train,1103,unknown,1103,C:\Users\ashut\Downloads\Geometry3K\train\1103
train,1104,circle,1104,C:\Users\ashut\Downloads\Geometry3K\train\1104
train,1105,unknown,1105,C:\Users\ashut\Downloads\Geometry3K\train\1105
train,1106,unknown,1106,C:\Users\ashut\Downloads\Geometry3K\train\1106
train,1107,unknown,1107,C:\Users\ashut\Downloads\Geometry3K\train\1107
train,1108,unknown,1108,C:\Users\ashut\Downloads\Geometry3K\train\1108
train,1109,unknown,1109,C:\Users\ashut\Downloads\Geometry3K\train\1109
train,111,unknown,111,C:\Users\ashut\Downloads\Geometry3K\train\111
train,1110,unknown,1110,C:\Users\ashut\Downloads\Geometry3K\train\1110
train,1111,unknown,1111,C:\Users\ashut\Downloads\Geometry3K\train\1111
train,1112,unknown,1112,C:\Users\ashut\Downloads\Geometry3K\train\1112
train,1113,parallelogram,1113,C:\Users\ashut\Downloads\Geometry3K\train\1113
train,1114,parallelogram,1114,C:\Users\ashut\Downloads\Geometry3K\train\1114
train,1115,unknown,1115,C:\Users\ashut\Downloads\Geometry3K\train\1115
train,1116,unknown,1116,C:\Users\ashut\Downloads\Geometry3K\train\1116
train,1117,unknown,1117,C:\Users\ashut\Downloads\Geometry3K\train\1117
train,1118,unknown,1118,C:\Users\ashut\Downloads\Geometry3K\train\1118
train,1119,unknown,1119,C:\Users\ashut\Downloads\Geometry3K\train\1119
train,112,unknown,112,C:\Users\ashut\Downloads\Geometry3K\train\112
train,1120,unknown,1120,C:\Users\ashut\Downloads\Geometry3K\train\1120
train,1121,unknown,1121,C:\Users\ashut\Downloads\Geometry3K\train\1121
train,1122,unknown,1122,C:\Users\ashut\Downloads\Geometry3K\train\1122
train,1123,rectangle,1123,C:\Users\ashut\Downloads\Geometry3K\train\1123
train,1124,unknown,1124,C:\Users\ashut\Downloads\Geometry3K\train\1124
train,1125,unknown,1125,C:\Users\ashut\Downloads\Geometry3K\train\1125
train,1126,unknown,1126,C:\Users\ashut\Downloads\Geometry3K\train\1126
train,1127,unknown,1127,C:\Users\ashut\Downloads\Geometry3K\train\1127
train,1128,unknown,1128,C:\Users\ashut\Downloads\Geometry3K\train\1128
train,1129,unknown,1129,C:\Users\ashut\Downloads\Geometry3K\train\1129
train,113,unknown,113,C:\Users\ashut\Downloads\Geometry3K\train\113
train,1130,unknown,1130,C:\Users\ashut\Downloads\Geometry3K\train\1130
train,1131,unknown,1131,C:\Users\ashut\Downloads\Geometry3K\train\1131
train,1132,unknown,1132,C:\Users\ashut\Downloads\Geometry3K\train\1132
train,1133,unknown,1133,C:\Users\ashut\Downloads\Geometry3K\train\1133
train,1134,unknown,1134,C:\Users\ashut\Downloads\Geometry3K\train\1134
train,1135,unknown,1135,C:\Users\ashut\Downloads\Geometry3K\train\1135
train,1136,unknown,1136,C:\Users\ashut\Downloads\Geometry3K\train\1136
train,1137,parallelogram,1137,C:\Users\ashut\Downloads\Geometry3K\train\1137
train,1138,unknown,1138,C:\Users\ashut\Downloads\Geometry3K\train\1138
train,1139,unknown,1139,C:\Users\ashut\Downloads\Geometry3K\train\1139
train,114,unknown,114,C:\Users\ashut\Downloads\Geometry3K\train\114
train,1140,unknown,1140,C:\Users\ashut\Downloads\Geometry3K\train\1140
train,1141,unknown,1141,C:\Users\ashut\Downloads\Geometry3K\train\1141
train,1142,unknown,1142,C:\Users\ashut\Downloads\Geometry3K\train\1142
train,1143,unknown,1143,C:\Users\ashut\Downloads\Geometry3K\train\1143
train,1144,unknown,1144,C:\Users\ashut\Downloads\Geometry3K\train\1144
train,1145,unknown,1145,C:\Users\ashut\Downloads\Geometry3K\train\1145
train,1146,unknown,1146,C:\Users\ashut\Downloads\Geometry3K\train\1146
train,1147,unknown,1147,C:\Users\ashut\Downloads\Geometry3K\train\1147
train,1148,unknown,1148,C:\Users\ashut\Downloads\Geometry3K\train\1148
train,1149,unknown,1149,C:\Users\ashut\Downloads\Geometry3K\train\1149
train,115,parallelogram,115,C:\Users\ashut\Downloads\Geometry3K\train\115
train,1150,unknown,1150,C:\Users\ashut\Downloads\Geometry3K\train\1150
train,1151,unknown,1151,C:\Users\ashut\Downloads\Geometry3K\train\1151
train,1152,unknown,1152,C:\Users\ashut\Downloads\Geometry3K\train\1152
train,1153,unknown,1153,C:\Users\ashut\Downloads\Geometry3K\train\1153
train,1154,unknown,1154,C:\Users\ashut\Downloads\Geometry3K\train\1154
train,1155,unknown,1155,C:\Users\ashut\Downloads\Geometry3K\train\1155
train,1156,unknown,1156,C:\Users\ashut\Downloads\Geometry3K\train\1156
train,1157,unknown,1157,C:\Users\ashut\Downloads\Geometry3K\train\1157
train,1158,unknown,1158,C:\Users\ashut\Downloads\Geometry3K\train\1158
train,1159,unknown,1159,C:\Users\ashut\Downloads\Geometry3K\train\1159
train,116,unknown,116,C:\Users\ashut\Downloads\Geometry3K\train\116
train,1160,unknown,1160,C:\Users\ashut\Downloads\Geometry3K\train\1160
train,1161,unknown,1161,C:\Users\ashut\Downloads\Geometry3K\train\1161
train,1162,unknown,1162,C:\Users\ashut\Downloads\Geometry3K\train\1162
train,1163,unknown,1163,C:\Users\ashut\Downloads\Geometry3K\train\1163
train,1164,parallelogram,1164,C:\Users\ashut\Downloads\Geometry3K\train\1164
train,1165,unknown,1165,C:\Users\ashut\Downloads\Geometry3K\train\1165
train,1166,unknown,1166,C:\Users\ashut\Downloads\Geometry3K\train\1166
train,1167,unknown,1167,C:\Users\ashut\Downloads\Geometry3K\train\1167
train,1168,unknown,1168,C:\Users\ashut\Downloads\Geometry3K\train\1168
train,1169,unknown,1169,C:\Users\ashut\Downloads\Geometry3K\train\1169
train,117,unknown,117,C:\Users\ashut\Downloads\Geometry3K\train\117
train,1170,unknown,1170,C:\Users\ashut\Downloads\Geometry3K\train\1170
train,1171,unknown,1171,C:\Users\ashut\Downloads\Geometry3K\train\1171
train,1172,unknown,1172,C:\Users\ashut\Downloads\Geometry3K\train\1172
train,1173,unknown,1173,C:\Users\ashut\Downloads\Geometry3K\train\1173
train,1174,unknown,1174,C:\Users\ashut\Downloads\Geometry3K\train\1174
train,1175,unknown,1175,C:\Users\ashut\Downloads\Geometry3K\train\1175
train,1176,unknown,1176,C:\Users\ashut\Downloads\Geometry3K\train\1176
train,1177,unknown,1177,C:\Users\ashut\Downloads\Geometry3K\train\1177
train,1178,unknown,1178,C:\Users\ashut\Downloads\Geometry3K\train\1178
train,1179,unknown,1179,C:\Users\ashut\Downloads\Geometry3K\train\1179
train,118,unknown,118,C:\Users\ashut\Downloads\Geometry3K\train\118
train,1180,unknown,1180,C:\Users\ashut\Downloads\Geometry3K\train\1180
train,1181,unknown,1181,C:\Users\ashut\Downloads\Geometry3K\train\1181
train,1182,unknown,1182,C:\Users\ashut\Downloads\Geometry3K\train\1182
train,1183,unknown,1183,C:\Users\ashut\Downloads\Geometry3K\train\1183
train,1184,unknown,1184,C:\Users\ashut\Downloads\Geometry3K\train\1184
train,1185,unknown,1185,C:\Users\ashut\Downloads\Geometry3K\train\1185
train,1186,unknown,1186,C:\Users\ashut\Downloads\Geometry3K\train\1186
train,1187,unknown,1187,C:\Users\ashut\Downloads\Geometry3K\train\1187
train,1188,unknown,1188,C:\Users\ashut\Downloads\Geometry3K\train\1188
train,1189,unknown,1189,C:\Users\ashut\Downloads\Geometry3K\train\1189
train,119,unknown,119,C:\Users\ashut\Downloads\Geometry3K\train\119
train,1190,triangle,1190,C:\Users\ashut\Downloads\Geometry3K\train\1190
train,1191,unknown,1191,C:\Users\ashut\Downloads\Geometry3K\train\1191
train,1192,unknown,1192,C:\Users\ashut\Downloads\Geometry3K\train\1192
train,1193,unknown,1193,C:\Users\ashut\Downloads\Geometry3K\train\1193
train,1194,unknown,1194,C:\Users\ashut\Downloads\Geometry3K\train\1194
train,1195,unknown,1195,C:\Users\ashut\Downloads\Geometry3K\train\1195
train,1196,unknown,1196,C:\Users\ashut\Downloads\Geometry3K\train\1196
train,1197,unknown,1197,C:\Users\ashut\Downloads\Geometry3K\train\1197
train,1198,unknown,1198,C:\Users\ashut\Downloads\Geometry3K\train\1198
train,1199,unknown,1199,C:\Users\ashut\Downloads\Geometry3K\train\1199
train,12,unknown,12,C:\Users\ashut\Downloads\Geometry3K\train\12
train,120,unknown,120,C:\Users\ashut\Downloads\Geometry3K\train\120
train,1200,unknown,1200,C:\Users\ashut\Downloads\Geometry3K\train\1200
train,1201,unknown,1201,C:\Users\ashut\Downloads\Geometry3K\train\1201
train,1202,unknown,1202,C:\Users\ashut\Downloads\Geometry3K\train\1202
train,1203,unknown,1203,C:\Users\ashut\Downloads\Geometry3K\train\1203
train,1204,unknown,1204,C:\Users\ashut\Downloads\Geometry3K\train\1204
train,1205,unknown,1205,C:\Users\ashut\Downloads\Geometry3K\train\1205
train,1206,circle,1206,C:\Users\ashut\Downloads\Geometry3K\train\1206
train,1207,unknown,1207,C:\Users\ashut\Downloads\Geometry3K\train\1207
train,1208,parallelogram,1208,C:\Users\ashut\Downloads\Geometry3K\train\1208
train,1209,unknown,1209,C:\Users\ashut\Downloads\Geometry3K\train\1209
train,121,unknown,121,C:\Users\ashut\Downloads\Geometry3K\train\121
train,1210,unknown,1210,C:\Users\ashut\Downloads\Geometry3K\train\1210
train,1211,unknown,1211,C:\Users\ashut\Downloads\Geometry3K\train\1211
train,1212,unknown,1212,C:\Users\ashut\Downloads\Geometry3K\train\1212
train,1213,unknown,1213,C:\Users\ashut\Downloads\Geometry3K\train\1213
train,1214,unknown,1214,C:\Users\ashut\Downloads\Geometry3K\train\1214
train,1215,parallelogram,1215,C:\Users\ashut\Downloads\Geometry3K\train\1215
train,1216,unknown,1216,C:\Users\ashut\Downloads\Geometry3K\train\1216
train,1217,unknown,1217,C:\Users\ashut\Downloads\Geometry3K\train\1217
train,1218,unknown,1218,C:\Users\ashut\Downloads\Geometry3K\train\1218
train,1219,parallelogram,1219,C:\Users\ashut\Downloads\Geometry3K\train\1219
train,122,unknown,122,C:\Users\ashut\Downloads\Geometry3K\train\122
train,1220,unknown,1220,C:\Users\ashut\Downloads\Geometry3K\train\1220
train,1221,unknown,1221,C:\Users\ashut\Downloads\Geometry3K\train\1221
train,1222,unknown,1222,C:\Users\ashut\Downloads\Geometry3K\train\1222
train,1223,unknown,1223,C:\Users\ashut\Downloads\Geometry3K\train\1223
train,1224,parallelogram,1224,C:\Users\ashut\Downloads\Geometry3K\train\1224
train,1225,unknown,1225,C:\Users\ashut\Downloads\Geometry3K\train\1225
train,1226,rectangle,1226,C:\Users\ashut\Downloads\Geometry3K\train\1226
train,1227,rectangle,1227,C:\Users\ashut\Downloads\Geometry3K\train\1227
train,1228,unknown,1228,C:\Users\ashut\Downloads\Geometry3K\train\1228
train,1229,unknown,1229,C:\Users\ashut\Downloads\Geometry3K\train\1229
train,123,unknown,123,C:\Users\ashut\Downloads\Geometry3K\train\123
train,1230,unknown,1230,C:\Users\ashut\Downloads\Geometry3K\train\1230
train,1231,unknown,1231,C:\Users\ashut\Downloads\Geometry3K\train\1231
train,1232,unknown,1232,C:\Users\ashut\Downloads\Geometry3K\train\1232
train,1233,unknown,1233,C:\Users\ashut\Downloads\Geometry3K\train\1233
train,1234,unknown,1234,C:\Users\ashut\Downloads\Geometry3K\train\1234
train,1235,unknown,1235,C:\Users\ashut\Downloads\Geometry3K\train\1235
train,1236,rectangle,1236,C:\Users\ashut\Downloads\Geometry3K\train\1236
train,1237,triangle,1237,C:\Users\ashut\Downloads\Geometry3K\train\1237
train,1238,unknown,1238,C:\Users\ashut\Downloads\Geometry3K\train\1238
train,1239,unknown,1239,C:\Users\ashut\Downloads\Geometry3K\train\1239
train,124,unknown,124,C:\Users\ashut\Downloads\Geometry3K\train\124
train,1240,unknown,1240,C:\Users\ashut\Downloads\Geometry3K\train\1240
train,1241,rectangle,1241,C:\Users\ashut\Downloads\Geometry3K\train\1241
train,1242,unknown,1242,C:\Users\ashut\Downloads\Geometry3K\train\1242
train,1243,parallelogram,1243,C:\Users\ashut\Downloads\Geometry3K\train\1243
train,1244,unknown,1244,C:\Users\ashut\Downloads\Geometry3K\train\1244
train,1245,unknown,1245,C:\Users\ashut\Downloads\Geometry3K\train\1245
train,1246,unknown,1246,C:\Users\ashut\Downloads\Geometry3K\train\1246
train,1247,unknown,1247,C:\Users\ashut\Downloads\Geometry3K\train\1247
train,1248,unknown,1248,C:\Users\ashut\Downloads\Geometry3K\train\1248
train,1249,unknown,1249,C:\Users\ashut\Downloads\Geometry3K\train\1249
train,125,unknown,125,C:\Users\ashut\Downloads\Geometry3K\train\125
train,1250,parallelogram,1250,C:\Users\ashut\Downloads\Geometry3K\train\1250
train,1251,unknown,1251,C:\Users\ashut\Downloads\Geometry3K\train\1251
train,1252,unknown,1252,C:\Users\ashut\Downloads\Geometry3K\train\1252
train,1253,circle,1253,C:\Users\ashut\Downloads\Geometry3K\train\1253
train,1254,unknown,1254,C:\Users\ashut\Downloads\Geometry3K\train\1254
train,1255,unknown,1255,C:\Users\ashut\Downloads\Geometry3K\train\1255
train,1256,unknown,1256,C:\Users\ashut\Downloads\Geometry3K\train\1256
train,1257,unknown,1257,C:\Users\ashut\Downloads\Geometry3K\train\1257
train,1258,unknown,1258,C:\Users\ashut\Downloads\Geometry3K\train\1258
train,1259,parallelogram,1259,C:\Users\ashut\Downloads\Geometry3K\train\1259
train,126,square,126,C:\Users\ashut\Downloads\Geometry3K\train\126
train,1260,unknown,1260,C:\Users\ashut\Downloads\Geometry3K\train\1260
train,1261,unknown,1261,C:\Users\ashut\Downloads\Geometry3K\train\1261
train,1262,unknown,1262,C:\Users\ashut\Downloads\Geometry3K\train\1262
train,1263,unknown,1263,C:\Users\ashut\Downloads\Geometry3K\train\1263
train,1264,unknown,1264,C:\Users\ashut\Downloads\Geometry3K\train\1264
train,1265,unknown,1265,C:\Users\ashut\Downloads\Geometry3K\train\1265
train,1266,unknown,1266,C:\Users\ashut\Downloads\Geometry3K\train\1266
train,1267,triangle,1267,C:\Users\ashut\Downloads\Geometry3K\train\1267
train,1268,unknown,1268,C:\Users\ashut\Downloads\Geometry3K\train\1268
train,1269,unknown,1269,C:\Users\ashut\Downloads\Geometry3K\train\1269
train,127,unknown,127,C:\Users\ashut\Downloads\Geometry3K\train\127
train,1270,unknown,1270,C:\Users\ashut\Downloads\Geometry3K\train\1270
train,1271,unknown,1271,C:\Users\ashut\Downloads\Geometry3K\train\1271
train,1272,unknown,1272,C:\Users\ashut\Downloads\Geometry3K\train\1272
train,1273,unknown,1273,C:\Users\ashut\Downloads\Geometry3K\train\1273
train,1274,unknown,1274,C:\Users\ashut\Downloads\Geometry3K\train\1274
train,1275,unknown,1275,C:\Users\ashut\Downloads\Geometry3K\train\1275
train,1276,triangle,1276,C:\Users\ashut\Downloads\Geometry3K\train\1276
train,1277,unknown,1277,C:\Users\ashut\Downloads\Geometry3K\train\1277
train,1278,unknown,1278,C:\Users\ashut\Downloads\Geometry3K\train\1278
train,1279,unknown,1279,C:\Users\ashut\Downloads\Geometry3K\train\1279
train,128,unknown,128,C:\Users\ashut\Downloads\Geometry3K\train\128
train,1280,parallelogram,1280,C:\Users\ashut\Downloads\Geometry3K\train\1280
train,1281,unknown,1281,C:\Users\ashut\Downloads\Geometry3K\train\1281
train,1282,parallelogram,1282,C:\Users\ashut\Downloads\Geometry3K\train\1282
train,1283,unknown,1283,C:\Users\ashut\Downloads\Geometry3K\train\1283
train,1284,unknown,1284,C:\Users\ashut\Downloads\Geometry3K\train\1284
train,1285,unknown,1285,C:\Users\ashut\Downloads\Geometry3K\train\1285
train,1286,triangle,1286,C:\Users\ashut\Downloads\Geometry3K\train\1286
train,1287,unknown,1287,C:\Users\ashut\Downloads\Geometry3K\train\1287
train,1288,unknown,1288,C:\Users\ashut\Downloads\Geometry3K\train\1288
train,1289,unknown,1289,C:\Users\ashut\Downloads\Geometry3K\train\1289
train,129,unknown,129,C:\Users\ashut\Downloads\Geometry3K\train\129
train,1290,unknown,1290,C:\Users\ashut\Downloads\Geometry3K\train\1290
train,1291,unknown,1291,C:\Users\ashut\Downloads\Geometry3K\train\1291
train,1292,unknown,1292,C:\Users\ashut\Downloads\Geometry3K\train\1292
train,1293,unknown,1293,C:\Users\ashut\Downloads\Geometry3K\train\1293
train,1294,unknown,1294,C:\Users\ashut\Downloads\Geometry3K\train\1294
train,1295,unknown,1295,C:\Users\ashut\Downloads\Geometry3K\train\1295
train,1296,unknown,1296,C:\Users\ashut\Downloads\Geometry3K\train\1296
train,1297,unknown,1297,C:\Users\ashut\Downloads\Geometry3K\train\1297
train,1298,unknown,1298,C:\Users\ashut\Downloads\Geometry3K\train\1298
train,1299,unknown,1299,C:\Users\ashut\Downloads\Geometry3K\train\1299
train,13,parallelogram,13,C:\Users\ashut\Downloads\Geometry3K\train\13
train,130,unknown,130,C:\Users\ashut\Downloads\Geometry3K\train\130
train,1300,unknown,1300,C:\Users\ashut\Downloads\Geometry3K\train\1300
train,1301,unknown,1301,C:\Users\ashut\Downloads\Geometry3K\train\1301
train,1302,circle,1302,C:\Users\ashut\Downloads\Geometry3K\train\1302
train,1303,unknown,1303,C:\Users\ashut\Downloads\Geometry3K\train\1303
train,1304,circle,1304,C:\Users\ashut\Downloads\Geometry3K\train\1304
train,1305,unknown,1305,C:\Users\ashut\Downloads\Geometry3K\train\1305
train,1306,unknown,1306,C:\Users\ashut\Downloads\Geometry3K\train\1306
train,1307,unknown,1307,C:\Users\ashut\Downloads\Geometry3K\train\1307
train,1308,unknown,1308,C:\Users\ashut\Downloads\Geometry3K\train\1308
train,1309,unknown,1309,C:\Users\ashut\Downloads\Geometry3K\train\1309
train,131,unknown,131,C:\Users\ashut\Downloads\Geometry3K\train\131
train,1310,unknown,1310,C:\Users\ashut\Downloads\Geometry3K\train\1310
train,1311,unknown,1311,C:\Users\ashut\Downloads\Geometry3K\train\1311
train,1312,unknown,1312,C:\Users\ashut\Downloads\Geometry3K\train\1312
train,1313,unknown,1313,C:\Users\ashut\Downloads\Geometry3K\train\1313
train,1314,unknown,1314,C:\Users\ashut\Downloads\Geometry3K\train\1314
train,1315,unknown,1315,C:\Users\ashut\Downloads\Geometry3K\train\1315
train,1316,unknown,1316,C:\Users\ashut\Downloads\Geometry3K\train\1316
train,1317,unknown,1317,C:\Users\ashut\Downloads\Geometry3K\train\1317
train,1318,unknown,1318,C:\Users\ashut\Downloads\Geometry3K\train\1318
train,1319,unknown,1319,C:\Users\ashut\Downloads\Geometry3K\train\1319
train,132,circle,132,C:\Users\ashut\Downloads\Geometry3K\train\132
train,1320,unknown,1320,C:\Users\ashut\Downloads\Geometry3K\train\1320
