dataset,json_file,image_file,shape,image_path
GeoQA,1026.json,1026.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1026.png
GeoQA,1027.json,1027.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1027.png
GeoQA,1028.json,1028.png,triangle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1028.png
GeoQA,103.json,103.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\103.png
GeoQA,1031.json,1031.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1031.png
GeoQA,1032.json,1032.png,triangle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1032.png
GeoQA,1033.json,1033.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1033.png
GeoQA,1037.json,1037.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1037.png
GeoQA,1038.json,1038.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1038.png
GeoQA,1039.json,1039.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1039.png
GeoQA,104.json,104.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\104.png
GeoQA,1040.json,1040.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1040.png
GeoQA,1042.json,1042.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1042.png
GeoQA,1045.json,1045.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1045.png
GeoQA,1046.json,1046.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1046.png
GeoQA,1047.json,1047.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1047.png
GeoQA,1049.json,1049.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1049.png
GeoQA,105.json,105.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\105.png
GeoQA,1053.json,1053.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1053.png
GeoQA,1055.json,1055.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1055.png
GeoQA,1056.json,1056.png,rectangle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1056.png
GeoQA,1059.json,1059.png,triangle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1059.png
GeoQA,106.json,106.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\106.png
GeoQA,1060.json,1060.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1060.png
GeoQA,1061.json,1061.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1061.png
GeoQA,1064.json,1064.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1064.png
GeoQA,1065.json,1065.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1065.png
GeoQA,1067.json,1067.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1067.png
GeoQA,1068.json,1068.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1068.png
GeoQA,1069.json,1069.png,rectangle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1069.png
GeoQA,107.json,107.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\107.png
GeoQA,1071.json,1071.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1071.png
GeoQA,1073.json,1073.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1073.png
GeoQA,1075.json,1075.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1075.png
GeoQA,1076.json,1076.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1076.png
GeoQA,1078.json,1078.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1078.png
GeoQA,108.json,108.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\108.png
GeoQA,1080.json,1080.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1080.png
GeoQA,1082.json,1082.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1082.png
GeoQA,1085.json,1085.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1085.png
GeoQA,1086.json,1086.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1086.png
GeoQA,1087.json,1087.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1087.png
GeoQA,1089.json,1089.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1089.png
GeoQA,109.json,109.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\109.png
GeoQA,1092.json,1092.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1092.png
GeoQA,1093.json,1093.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1093.png
GeoQA,1095.json,1095.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1095.png
GeoQA,1096.json,1096.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1096.png
GeoQA,1097.json,1097.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1097.png
GeoQA,1099.json,1099.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1099.png
GeoQA,11.json,11.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\11.png
GeoQA,110.json,110.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\110.png
GeoQA,1100.json,1100.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1100.png
GeoQA,1101.json,1101.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1101.png
GeoQA,1102.json,1102.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1102.png
GeoQA,1103.json,1103.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1103.png
GeoQA,1104.json,1104.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1104.png
GeoQA,1105.json,1105.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1105.png
GeoQA,1106.json,1106.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1106.png
GeoQA,1107.json,1107.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1107.png
GeoQA,1108.json,1108.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1108.png
GeoQA,111.json,111.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\111.png
GeoQA,1110.json,1110.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1110.png
GeoQA,1111.json,1111.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1111.png
GeoQA,1112.json,1112.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1112.png
GeoQA,1114.json,1114.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1114.png
GeoQA,1115.json,1115.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1115.png
GeoQA,1116.json,1116.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1116.png
GeoQA,1118.json,1118.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1118.png
GeoQA,1119.json,1119.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1119.png
GeoQA,112.json,112.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\112.png
GeoQA,1120.json,1120.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1120.png
GeoQA,1124.json,1124.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1124.png
GeoQA,1125.json,1125.png,square,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1125.png
GeoQA,1126.json,1126.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1126.png
GeoQA,1127.json,1127.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1127.png
GeoQA,1128.json,1128.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1128.png
GeoQA,1129.json,1129.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1129.png
GeoQA,113.json,113.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\113.png
GeoQA,1130.json,1130.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1130.png
GeoQA,1131.json,1131.png,square,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1131.png
GeoQA,1132.json,1132.png,triangle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1132.png
GeoQA,1133.json,1133.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1133.png
GeoQA,1134.json,1134.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1134.png
GeoQA,1135.json,1135.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1135.png
GeoQA,1136.json,1136.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1136.png
GeoQA,1138.json,1138.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1138.png
GeoQA,1140.json,1140.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1140.png
GeoQA,1141.json,1141.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1141.png
GeoQA,1142.json,1142.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1142.png
GeoQA,1143.json,1143.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1143.png
GeoQA,1144.json,1144.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1144.png
GeoQA,1145.json,1145.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1145.png
GeoQA,1146.json,1146.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1146.png
GeoQA,1147.json,1147.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1147.png
GeoQA,1149.json,1149.png,triangle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1149.png
GeoQA,1150.json,1150.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1150.png
GeoQA,1151.json,1151.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1151.png
GeoQA,1152.json,1152.png,triangle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1152.png
GeoQA,1155.json,1155.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1155.png
GeoQA,1156.json,1156.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1156.png
GeoQA,1158.json,1158.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1158.png
GeoQA,1161.json,1161.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1161.png
GeoQA,1162.json,1162.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1162.png
GeoQA,1163.json,1163.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1163.png
GeoQA,1164.json,1164.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1164.png
GeoQA,1165.json,1165.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1165.png
GeoQA,1166.json,1166.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1166.png
GeoQA,1167.json,1167.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1167.png
GeoQA,1168.json,1168.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1168.png
GeoQA,1170.json,1170.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1170.png
GeoQA,1171.json,1171.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1171.png
GeoQA,1172.json,1172.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1172.png
GeoQA,1173.json,1173.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1173.png
GeoQA,1174.json,1174.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1174.png
GeoQA,1175.json,1175.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1175.png
GeoQA,1177.json,1177.png,triangle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1177.png
GeoQA,1178.json,1178.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1178.png
GeoQA,1179.json,1179.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1179.png
GeoQA,118.json,118.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\118.png
GeoQA,1180.json,1180.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1180.png
GeoQA,1181.json,1181.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1181.png
GeoQA,1183.json,1183.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1183.png
GeoQA,1184.json,1184.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1184.png
GeoQA,1185.json,1185.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1185.png
GeoQA,1186.json,1186.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1186.png
GeoQA,1187.json,1187.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1187.png
GeoQA,1188.json,1188.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1188.png
GeoQA,1189.json,1189.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1189.png
GeoQA,119.json,119.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\119.png
GeoQA,1190.json,1190.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1190.png
GeoQA,1191.json,1191.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1191.png
GeoQA,1192.json,1192.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1192.png
GeoQA,1193.json,1193.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1193.png
GeoQA,1195.json,1195.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1195.png
GeoQA,1196.json,1196.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1196.png
GeoQA,1197.json,1197.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1197.png
GeoQA,1198.json,1198.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1198.png
GeoQA,1199.json,1199.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1199.png
GeoQA,120.json,120.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\120.png
GeoQA,1200.json,1200.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1200.png
GeoQA,1201.json,1201.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1201.png
GeoQA,1202.json,1202.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1202.png
GeoQA,1206.json,1206.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1206.png
GeoQA,121.json,121.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\121.png
GeoQA,1210.json,1210.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1210.png
GeoQA,1213.json,1213.png,square,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1213.png
GeoQA,1215.json,1215.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1215.png
GeoQA,1216.json,1216.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1216.png
GeoQA,1217.json,1217.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1217.png
GeoQA,1218.json,1218.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1218.png
GeoQA,1219.json,1219.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1219.png
GeoQA,122.json,122.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\122.png
GeoQA,1220.json,1220.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1220.png
GeoQA,1222.json,1222.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1222.png
GeoQA,1225.json,1225.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1225.png
GeoQA,1226.json,1226.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1226.png
GeoQA,1227.json,1227.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1227.png
GeoQA,1228.json,1228.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1228.png
GeoQA,1229.json,1229.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1229.png
GeoQA,123.json,123.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\123.png
GeoQA,1230.json,1230.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1230.png
GeoQA,1234.json,1234.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1234.png
GeoQA,1235.json,1235.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1235.png
GeoQA,1236.json,1236.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1236.png
GeoQA,1239.json,1239.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1239.png
GeoQA,124.json,124.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\124.png
GeoQA,1240.json,1240.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1240.png
GeoQA,1241.json,1241.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1241.png
GeoQA,1242.json,1242.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1242.png
GeoQA,1243.json,1243.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1243.png
GeoQA,1244.json,1244.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1244.png
GeoQA,1247.json,1247.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1247.png
GeoQA,1248.json,1248.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1248.png
GeoQA,1249.json,1249.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1249.png
GeoQA,125.json,125.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\125.png
GeoQA,1254.json,1254.png,triangle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1254.png
GeoQA,1261.json,1261.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1261.png
GeoQA,1264.json,1264.png,triangle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1264.png
GeoQA,1265.json,1265.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1265.png
GeoQA,1266.json,1266.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1266.png
GeoQA,1267.json,1267.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1267.png
GeoQA,1269.json,1269.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1269.png
GeoQA,127.json,127.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\127.png
GeoQA,1270.json,1270.png,triangle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1270.png
GeoQA,1272.json,1272.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1272.png
GeoQA,1275.json,1275.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1275.png
GeoQA,1277.json,1277.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1277.png
GeoQA,1278.json,1278.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1278.png
GeoQA,1279.json,1279.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1279.png
GeoQA,128.json,128.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\128.png
GeoQA,1280.json,1280.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1280.png
GeoQA,1281.json,1281.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1281.png
GeoQA,1284.json,1284.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1284.png
GeoQA,1286.json,1286.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1286.png
GeoQA,1287.json,1287.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1287.png
GeoQA,1288.json,1288.png,rectangle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1288.png
GeoQA,129.json,129.png,triangle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\129.png
GeoQA,1292.json,1292.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1292.png
GeoQA,1293.json,1293.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1293.png
GeoQA,1295.json,1295.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1295.png
GeoQA,1297.json,1297.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1297.png
GeoQA,1298.json,1298.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1298.png
GeoQA,1299.json,1299.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1299.png
GeoQA,13.json,13.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\13.png
GeoQA,130.json,130.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\130.png
GeoQA,1300.json,1300.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1300.png
GeoQA,1301.json,1301.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1301.png
GeoQA,1302.json,1302.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1302.png
GeoQA,1303.json,1303.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1303.png
GeoQA,1307.json,1307.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1307.png
GeoQA,1308.json,1308.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1308.png
GeoQA,1309.json,1309.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1309.png
GeoQA,131.json,131.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\131.png
GeoQA,1310.json,1310.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1310.png
GeoQA,1311.json,1311.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1311.png
GeoQA,1312.json,1312.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1312.png
GeoQA,1315.json,1315.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1315.png
GeoQA,1316.json,1316.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1316.png
GeoQA,1317.json,1317.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1317.png
GeoQA,132.json,132.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\132.png
GeoQA,1322.json,1322.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1322.png
GeoQA,1323.json,1323.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1323.png
GeoQA,1325.json,1325.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1325.png
GeoQA,1326.json,1326.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1326.png
GeoQA,1329.json,1329.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1329.png
GeoQA,133.json,133.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\133.png
GeoQA,1330.json,1330.png,square,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1330.png
GeoQA,1331.json,1331.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1331.png
GeoQA,1332.json,1332.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1332.png
GeoQA,1334.json,1334.png,square,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1334.png
GeoQA,1336.json,1336.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1336.png
GeoQA,1337.json,1337.png,triangle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1337.png
